plate_uid,proper_name,plate_name,screw_sizes,set_category,size_range,drawer_locations,stock_locations,total_drawer_units,total_stock_units,total_units,out_drawer_units,out_stock_units,out_units,available_drawer_units,available_stock_units,available_units,availability,range_status,out_case_details
FIBHOOK,Distal Lateral Fibular Hook Plates,Distal Lateral Fibular Hook Plates,"2.7mm, 3.5mm",2.7-4.0,STANDARD,D3,,1,0,1,0,0,0,1,0,1,1/1,READY,[]
FSP,VA 5.0mm Femur Straight Plates,VA 5.0mm Femur Straight Plates,5.0mm,3.5-6.5,SHORT,"D5, D6",,2,0,2,0,0,0,2,0,2,2/2,READY,[]
FSP,VA 5.0mm Femur Straight Plates,VA 5.0mm Femur Straight Plates,5.0mm,3.5-6.5,STANDARD,"D5, D6",,2,0,2,1,0,1,1,0,1,1/2,PARTIAL,"[{""case_id"": ""C008"", ""hospital"": ""HSNZ"", ""surgery_date"": ""23/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
FSP,VA 5.0mm Femur Straight Plates,VA 5.0mm Femur Straight Plates,5.0mm,3.5-6.5,LONG,"D5, D6",,2,0,2,0,0,0,2,0,2,2/2,READY,[]
FSP,VA 5.0mm Femur Straight Plates,VA 5.0mm Femur Straight Plates,5.0mm,3.5-6.5,EXTRA LONG,D5,,1,0,1,0,0,0,1,0,1,1/1,READY,[]
METAI,VA 3.5mm Metaphyseal Plates,VA 3.5mm Metaphyseal Plates,3.5mm,2.7-4.0,STANDARD,D1,,1,0,1,0,0,0,1,0,1,1/1,READY,[]
METAII,VA 3.5/4.5/5.0mm Metaphyseal Plates,VA 3.5/4.5/5.0mm Metaphyseal Plates,"3.5mm, 4.5mm, 5.0mm",3.5-6.5,STANDARD,D6,,1,0,1,0,0,0,1,0,1,1/1,READY,[]
MSC,VA 3.5mm Superior Anterior Clavicle Plates MS Clavicle,VA 3.5mm Superior Anterior Clavicle Plates MS Clavicle,3.5mm,2.7-4.0,STANDARD,"D1, D2, D3",,3,0,3,0,0,0,3,0,3,3/3,READY,[]
OLEI,VA 3.5mm Proximal Dorsal Ulna Plates Placa Olecranon,VA 3.5mm Proximal Dorsal Ulna Plates Placa Olecranon,3.5mm,2.7-4.0,STANDARD,"D1, D2, D3",,3,0,3,0,0,0,3,0,3,3/3,READY,[]
OLEII,VA 3.5mm Proximal Dorsal Ulna Plates II Placa Olecranon,VA 3.5mm Proximal Dorsal Ulna Plates II Placa Olecranon,3.5mm,2.7-4.0,STANDARD,"D3, D4",,2,0,2,0,0,0,2,0,2,2/2,READY,[]
PFP,VA 4.5/5.0/6.5mm Proximal Lateral Femur Plates,VA 4.5/5.0/6.5mm Proximal Lateral Femur Plates,"4.5mm, 5.0mm, 6.5mm",3.5-6.5,STANDARD,D4,,1,0,1,1,0,1,0,0,0,0/1,OUT OF STOCK,"[{""case_id"": ""C032"", ""hospital"": ""PCMC"", ""surgery_date"": ""25/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
PHILOS,VA 3.5mm Proximal Lateral Humeral Plates II,VA 3.5mm Proximal Lateral Humeral Plates II,3.5mm,2.7-4.0,STANDARD,"D1, D2, D3",,3,0,3,1,0,1,2,0,2,2/3,PARTIAL,"[{""case_id"": ""C021"", ""hospital"": ""HPKN"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
PHILOS,VA 3.5mm Proximal Lateral Humeral Plates II,VA 3.5mm Proximal Lateral Humeral Plates II,3.5mm,2.7-4.0,LONG,D1,,1,0,1,1,0,1,0,0,0,0/1,OUT OF STOCK,"[{""case_id"": ""C021"", ""hospital"": ""HPKN"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
PHILOS,VA 3.5mm Proximal Lateral Humeral Plates II,VA 3.5mm Proximal Lateral Humeral Plates II,3.5mm,2.7-4.0,EXTRA LONG,,STOCK,0,1,1,0,0,0,0,1,1,1/1,READY,[]
PLTI,VA 3.5/4.5/5.0mm Proximal Lateral Tibia Plates,VA 3.5/4.5/5.0mm Proximal Lateral Tibia Plates,"3.5mm, 4.5mm, 5.0mm",3.5-6.5,STANDARD,"D5, D6",,2,0,2,1,0,1,1,0,1,1/2,PARTIAL,"[{""case_id"": ""C025"", ""hospital"": ""HKJ"", ""surgery_date"": ""25/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
PLTI,VA 3.5/4.5/5.0mm Proximal Lateral Tibia Plates,VA 3.5/4.5/5.0mm Proximal Lateral Tibia Plates,"3.5mm, 4.5mm, 5.0mm",3.5-6.5,LONG,D5,,1,0,1,0,0,0,1,0,1,1/1,READY,[]
PLTI,VA 3.5/4.5/5.0mm Proximal Lateral Tibia Plates,VA 3.5/4.5/5.0mm Proximal Lateral Tibia Plates,"3.5mm, 4.5mm, 5.0mm",3.5-6.5,EXTRA LONG,D4,,1,0,1,0,0,0,1,0,1,1/1,READY,[]
PLTII,VA 4.5/5.0mm Proximal Lateral Tibia Plates II,VA 4.5/5.0mm Proximal Lateral Tibia Plates II,"4.5mm, 5.0mm",3.5-6.5,STANDARD,"D5, D6",,2,0,2,1,0,1,1,0,1,1/2,PARTIAL,"[{""case_id"": ""C025"", ""hospital"": ""HKJ"", ""surgery_date"": ""25/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
PMT,VA 4.5/5.0mm Proximal Medial Tibia Plates,VA 4.5/5.0mm Proximal Medial Tibia Plates,"4.5mm, 5.0mm",3.5-6.5,STANDARD,"D5, D6",,2,0,2,1,0,1,1,0,1,1/2,PARTIAL,"[{""case_id"": ""C025"", ""hospital"": ""HKJ"", ""surgery_date"": ""25/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
PMT,VA 4.5/5.0mm Proximal Medial Tibia Plates,VA 4.5/5.0mm Proximal Medial Tibia Plates,"4.5mm, 5.0mm",3.5-6.5,LONG,D5,,1,0,1,0,0,0,1,0,1,1/1,READY,[]
PPMT,VA 3.5mm Posteromedial Proximal Tibia Plates,VA 3.5mm Posteromedial Proximal Tibia Plates,3.5mm,2.7-4.0,STANDARD,"D1, D3",,2,0,2,1,0,1,1,0,1,1/2,PARTIAL,"[{""case_id"": ""C025"", ""hospital"": ""HKJ"", ""surgery_date"": ""25/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
RECON,VA 3.5mm Reconstruction Plate,VA 3.5mm Reconstruction Plate,3.5mm,2.7-4.0,STANDARD,"D1, D2, D3",,3,0,3,1,0,1,2,0,2,2/3,PARTIAL,"[{""case_id"": ""C017"", ""hospital"": ""HTAR"", ""surgery_date"": ""24/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
RECON,VA 3.5mm Reconstruction Plate,VA 3.5mm Reconstruction Plate,3.5mm,2.7-4.0,LONG,"D1, D2, D3",,3,0,3,0,0,0,3,0,3,3/3,READY,[]
TSP,VA 5.0mm Tibia Straight Plates,VA 5.0mm Tibia Straight Plates,5.0mm,3.5-6.5,STANDARD,"D5, D6",,2,0,2,2,0,2,0,0,0,0/2,OUT OF STOCK,"[{""case_id"": ""C008"", ""hospital"": ""HSNZ"", ""surgery_date"": ""23/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}, {""case_id"": ""C011"", ""hospital"": ""HOSHAS"", ""surgery_date"": ""24/02/2026"", ""case_status"": ""PP"", ""from_stock"": false, ""requested_drawer"": null}]"
TSP,VA 5.0mm Tibia Straight Plates,VA 5.0mm Tibia Straight Plates,5.0mm,3.5-6.5,LONG,D5,,1,0,1,0,0,0,1,0,1,1/1,READY,[]
TSP,VA 5.0mm Tibia Straight Plates,VA 5.0mm Tibia Straight Plates,5.0mm,3.5-6.5,EXTRA LONG,D5,,1,0,1,0,0,0,1,0,1,1/1,READY,[]
TUBULAR,VA 3.5mm 1/3 Tubular Plates,VA 3.5mm 1/3 Tubular Plates,"3.5mm, 3.5mm, 4.5mm, 5.0mm",2.7-4.0,STANDARD,"D1, D2, D3",,3,0,3,1,0,1,2,0,2,2/3,PARTIAL,"[{""case_id"": ""C017"", ""hospital"": ""HTAR"", ""surgery_date"": ""24/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
TUBULAR,VA 3.5mm 1/3 Tubular Plates,VA 3.5mm 1/3 Tubular Plates,3.5mm,2.7-4.0,LONG,"D1, D2, D3",,3,0,3,0,0,0,3,0,3,3/3,READY,[]
URS,VA 3.5mm Ulna Radius Straight Plates,VA 3.5mm Ulna Radius Straight Plates,3.5mm,2.7-4.0,STANDARD,"D1, D2, D3",,3,0,3,1,0,1,2,0,2,2/3,PARTIAL,"[{""case_id"": ""C017"", ""hospital"": ""HTAR"", ""surgery_date"": ""24/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
URS,VA 3.5mm Ulna Radius Straight Plates,VA 3.5mm Ulna Radius Straight Plates,3.5mm,2.7-4.0,LONG,D1,,1,0,1,0,0,0,1,0,1,1/1,READY,[]
