plate_uid,proper_name,screw_sizes,size_range,drawer,drawer_sizes,drawer_size_detail,drawer_count,available_units,total_units,availability,range_status,out_case_details,drawer_out_case_details
DFIBIII,VA 2.7/3.5mm Distal Lateral Fibular Plates III,"2.7mm, 3.5mm",STANDARD,D1,"3H L, 4H L, 5H L, 7H L, 7H R, 5H R, 4H R, 3H R","[{""label"": ""3H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""4H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""4H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""3H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",8,0,3,0/3,OUT OF STOCK,"[{""case_id"": ""C016"", ""hospital"": ""HSR"", ""surgery_date"": ""24/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}, {""case_id"": ""C026"", ""hospital"": ""HTK"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}, {""case_id"": ""C037"", ""hospital"": ""UMSC"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]","[{""case_id"": ""C016"", ""hospital"": ""HSR"", ""surgery_date"": ""24/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
DFIBIII,VA 2.7/3.5mm Distal Lateral Fibular Plates III,"2.7mm, 3.5mm",STANDARD,D2,"3H L, 4H L, 5H L, 7H L, 7H R, 5H R, 4H R, 3H R","[{""label"": ""3H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""4H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""4H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""3H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",8,0,3,0/3,OUT OF STOCK,"[{""case_id"": ""C016"", ""hospital"": ""HSR"", ""surgery_date"": ""24/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}, {""case_id"": ""C026"", ""hospital"": ""HTK"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}, {""case_id"": ""C037"", ""hospital"": ""UMSC"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]","[{""case_id"": ""C026"", ""hospital"": ""HTK"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
DFIBIII,VA 2.7/3.5mm Distal Lateral Fibular Plates III,"2.7mm, 3.5mm",STANDARD,D3,"3H L, 4H L, 5H L, 7H L, 7H R, 5H R, 4H R, 3H R","[{""label"": ""3H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""4H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""4H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""3H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",8,0,3,0/3,OUT OF STOCK,"[{""case_id"": ""C016"", ""hospital"": ""HSR"", ""surgery_date"": ""24/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}, {""case_id"": ""C026"", ""hospital"": ""HTK"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}, {""case_id"": ""C037"", ""hospital"": ""UMSC"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]","[{""case_id"": ""C037"", ""hospital"": ""UMSC"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
DFIBIII,VA 2.7/3.5mm Distal Lateral Fibular Plates III,"2.7mm, 3.5mm",LONG,D1,"8H L, 8H R","[{""label"": ""8H L"", ""size_range"": ""LONG"", ""no_stock"": false}, {""label"": ""8H R"", ""size_range"": ""LONG"", ""no_stock"": false}]",2,3,3,3/3,READY,[],[]
DFIBIII,VA 2.7/3.5mm Distal Lateral Fibular Plates III,"2.7mm, 3.5mm",LONG,D2,"8H L, 8H R","[{""label"": ""8H L"", ""size_range"": ""LONG"", ""no_stock"": false}, {""label"": ""8H R"", ""size_range"": ""LONG"", ""no_stock"": false}]",2,3,3,3/3,READY,[],[]
DFIBIII,VA 2.7/3.5mm Distal Lateral Fibular Plates III,"2.7mm, 3.5mm",LONG,D3,"8H L, 8H R","[{""label"": ""8H L"", ""size_range"": ""LONG"", ""no_stock"": false}, {""label"": ""8H R"", ""size_range"": ""LONG"", ""no_stock"": false}]",2,3,3,3/3,READY,[],[]
DIA,VA 3.5mm Clavicle Diaphysis Plates,3.5mm,STANDARD,D3,"10H L, 9H L, 8H L, 7H L, 6H L, 6H R, 7H R, 8H R, 9H R, 10H R","[{""label"": ""10H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""9H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""9H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",10,2,2,2/2,READY,[],[]
DIA,VA 3.5mm Clavicle Diaphysis Plates,3.5mm,STANDARD,D4,"10H L, 9H L, 8H L, 7H L, 6H L, 6H R, 7H R, 8H R, 9H R, 10H R","[{""label"": ""10H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""9H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""9H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",10,2,2,2/2,READY,[],[]
DLF,VA 4.5/5.0mm Distal Lateral Femur Plates,"4.5mm, 5.0mm",STANDARD,D5,"6H L, 8H L, 10H L, 12H L, 14H L, 14H R, 12H R, 10H R, 8H R, 6H R","[{""label"": ""6H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""12H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""14H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""14H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""12H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",10,2,2,2/2,READY,[],[]
DLF,VA 4.5/5.0mm Distal Lateral Femur Plates,"4.5mm, 5.0mm",STANDARD,D6,"6H L, 8H L, 10H L, 12H L, 14H L, 14H R, 12H R, 10H R, 8H R, 6H R","[{""label"": ""6H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""12H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""14H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""14H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""12H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",10,2,2,2/2,READY,[],[]
DLHI,VA 2.7/3.5mm Distal Lateral Humeral Plates I,"2.7mm, 3.5mm",STANDARD,D3,"6H L, 8H L, 10H L, 10H R, 8H R, 6H R","[{""label"": ""6H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",6,2,2,2/2,READY,[],[]
DLHI,VA 2.7/3.5mm Distal Lateral Humeral Plates I,"2.7mm, 3.5mm",STANDARD,D4,"6H L, 8H L, 10H L, 10H R, 8H R, 6H R","[{""label"": ""6H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",6,2,2,2/2,READY,[],[]
DLHII,VA 2.7/3.5mm Distal Lateral Humeral Plates II,"2.7mm, 3.5mm",STANDARD,D4,"4H L, 6H L, 8H L, 8H R, 6H R, 4H R","[{""label"": ""4H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""4H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",6,1,1,1/1,READY,[],[]
DLT,VA 3.5mm Distal Lateral Tibia Plates,3.5mm,STANDARD,D1,"6H L, 8H L, 10H L, 12H L, 14H L, 14H R, 12H R, 10H R, 8H R, 6H R","[{""label"": ""6H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""12H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""14H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""14H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""12H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",10,0,2,0/2,OUT OF STOCK,"[{""case_id"": ""C034"", ""hospital"": ""HSR"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}, {""case_id"": ""C034"", ""hospital"": ""HSR"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}, {""case_id"": ""C034"", ""hospital"": ""HSR"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}, {""case_id"": ""C034"", ""hospital"": ""HSR"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": true, ""requested_drawer"": null}]","[{""case_id"": ""C034"", ""hospital"": ""HSR"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
DLT,VA 3.5mm Distal Lateral Tibia Plates,3.5mm,STANDARD,D2,"6H L, 8H L, 10H L, 12H L, 14H L, 14H R, 12H R, 10H R, 8H R, 6H R","[{""label"": ""6H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""12H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""14H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""14H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""12H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",10,0,2,0/2,OUT OF STOCK,"[{""case_id"": ""C034"", ""hospital"": ""HSR"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}, {""case_id"": ""C034"", ""hospital"": ""HSR"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}, {""case_id"": ""C034"", ""hospital"": ""HSR"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}, {""case_id"": ""C034"", ""hospital"": ""HSR"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": true, ""requested_drawer"": null}]","[{""case_id"": ""C034"", ""hospital"": ""HSR"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}, {""case_id"": ""C034"", ""hospital"": ""HSR"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
DLT,VA 3.5mm Distal Lateral Tibia Plates,3.5mm,EXTRA LONG,D4,"16H L, 18H L, 20H L, 20 R, 18 R, 16 R","[{""label"": ""16H L"", ""size_range"": ""EXTRA LONG"", ""no_stock"": false}, {""label"": ""18H L"", ""size_range"": ""EXTRA LONG"", ""no_stock"": false}, {""label"": ""20H L"", ""size_range"": ""EXTRA LONG"", ""no_stock"": true}, {""label"": ""20 R"", ""size_range"": ""EXTRA LONG"", ""no_stock"": false}, {""label"": ""18 R"", ""size_range"": ""EXTRA LONG"", ""no_stock"": false}, {""label"": ""16 R"", ""size_range"": ""EXTRA LONG"", ""no_stock"": false}]",6,1,1,1/1,READY,[],[]
DLTII,2.7/3.5 Distal Lateral Tibia Plates,"2.7mm, 3.5mm",STANDARD,D4,"8H L, 10H L, 10H R, 8H R","[{""label"": ""8H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H R"", ""size_range"": ""STANDARD"", ""no_stock"": true}]",4,0,1,0/1,OUT OF STOCK,"[{""case_id"": ""C034"", ""hospital"": ""HSR"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}, {""case_id"": ""C034"", ""hospital"": ""HSR"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}, {""case_id"": ""C034"", ""hospital"": ""HSR"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}, {""case_id"": ""C034"", ""hospital"": ""HSR"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]","[{""case_id"": ""C034"", ""hospital"": ""HSR"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}, {""case_id"": ""C034"", ""hospital"": ""HSR"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}, {""case_id"": ""C034"", ""hospital"": ""HSR"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}, {""case_id"": ""C034"", ""hospital"": ""HSR"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
DMH,VA 2.7/3.5mm Distal Medial Humeral Plates,"2.7mm, 3.5mm",STANDARD,D1,"4H L, 6H L, 8H L, 8H R, 6H R, 4H R","[{""label"": ""4H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""4H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",6,1,2,1/2,PARTIAL,"[{""case_id"": ""C015"", ""hospital"": ""HRPZII"", ""surgery_date"": ""25/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]","[{""case_id"": ""C015"", ""hospital"": ""HRPZII"", ""surgery_date"": ""25/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
